0,0
4,0
8,0
12,0
16,8
20,8
24,8
28,8
32,16
36,16
40,16
44,16
48,24
52,24
56,24
60,24
64,1
68,1
72,1
76,1
80,9
84,9
88,9
92,9
96,17
100,17
104,17
108,17
112,25
116,25
120,25
124,25
128,2
132,2
136,2
140,2
144,10
148,10
152,10
156,10
160,18
164,18
168,18
172,18
176,26
180,26
184,26
188,26
192,3
208,11
224,19
240,27
256,4
272,12
288,20
304,28
320,5
324,5
328,5
332,5
336,13
340,13
344,13
348,13
352,21
368,29
384,6
388,6
392,6
396,6
400,14
404,14
408,14
412,14
416,22
420,22
424,22
428,22
432,30
436,30
440,30
444,30
448,7
452,7
456,7
460,7
464,15
468,15
472,15
476,15
480,23
496,31
512,1
528,9
544,17
560,25
576,2
592,10
608,18
624,26
640,3
656,11
672,19
688,27
704,4
720,12
736,20
752,28
768,5
784,13
800,21
816,29
832,6
848,14
864,22
880,30
896,7
900,7
904,7
912,15
928,23
944,31
960,0
976,8
992,16
1008,24
1024,2
1040,10
1056,18
1072,26
1088,3
1104,11
1120,19
1136,27
1152,4
1168,12
1184,20
1200,28
1216,5
1232,13
1248,21
1264,29
1280,6
1296,14
1312,22
1328,30
1344,7
1360,15
1376,23
1392,31
1408,0
1412,0
1416,0
1424,8
1440,16
1456,24
1472,1
1488,9
1504,17
1520,25
1536,3
1552,11
1568,19
1584,27
1600,4
1616,12
1632,20
1648,28
1664,5
1680,13
1696,21
1712,29
1728,6
1744,14
1760,22
1776,30
1792,7
1808,15
1824,23
1840,31
1856,0
1872,8
1888,16
1904,24
1920,1
1924,1
1928,1
1932,1
1936,9
1940,9
1944,9
1948,9
1952,17
1968,25
1984,2
2000,10
2016,18
2032,26
2048,4
2052,4
2056,4
2060,4
2064,12
2068,12
2072,12
2076,12
2080,20
2084,20
2096,28
2112,5
2128,13
2144,21
2160,29
2176,6
2192,14
2208,22
2224,30
2240,7
2244,7
2248,7
2252,7
2256,15
2260,15
2264,15
2268,15
2272,23
2276,23
2280,23
2284,23
2288,31
2292,31
2296,31
2300,31
2304,0
2320,8
2336,16
2352,24
2368,1
2384,9
2400,17
2416,25
2432,2
2436,2
2440,2
2448,10
2464,18
2480,26
2496,3
2512,11
2528,19
2544,27
2560,5
2576,13
2592,21
2608,29
2624,6
2640,14
2656,22
2672,30
2688,7
2692,7
2696,7
2700,7
2704,15
2708,15
2720,23
2736,31
2752,0
2768,8
2784,16
2800,24
2816,1
2820,1
2824,1
2828,1
2832,9
2836,9
2848,17
2864,25
2880,2
2896,10
2912,18
2928,26
2944,3
2960,11
2976,19
2992,27
3008,4
3024,12
3040,20
3056,28
3072,6
3088,14
3104,22
3120,30
3136,7
3152,15
3168,23
3184,31
3200,0
3216,8
3232,16
3248,24
3264,1
3268,1
3280,9
3296,17
3312,25
3328,2
3344,10
3360,18
3376,26
3392,3
3408,11
3424,19
3440,27
3456,4
3472,12
3488,20
3504,28
3520,5
3536,13
3552,21
3568,29
3584,7
3600,15
3616,23
3632,31
3648,0
3664,8
3680,16
3696,24
3712,1
3728,9
3744,17
3760,25
3776,2
3792,10
3808,18
3824,26
3840,3
3844,3
3848,3
3852,3
3856,11
3860,11
3864,11
3868,11
3872,19
3876,19
3880,19
3884,19
3888,27
3892,27
3896,27
3900,27
3904,4
3908,4
3912,4
3916,4
3920,12
3924,12
3928,12
3932,12
3936,20
3940,20
3944,20
3948,20
3952,28
3956,28
3960,28
3964,28
3968,5
3984,13
4000,21
4016,29
4032,6
4036,6
4040,6
4044,6
4048,14
4064,22
4080,30
4096,0
4100,0
4104,0
4108,0
4112,8
4128,16
4144,24
4160,1
4176,9
4192,17
4208,25
4224,2
4240,10
4256,18
4272,26
4288,3
4304,11
4320,19
4336,27
4352,4
4368,12
4384,20
4400,28
4416,5
4432,13
4448,21
4464,29
4480,6
4496,14
4512,22
4528,30
4544,7
4560,15
4576,23
4592,31
4608,1
4624,9
4640,17
4656,25
4672,2
4688,10
4704,18
4720,26
4736,3
4752,11
4768,19
4784,27
4800,4
4816,12
4832,20
4848,28
4864,5
4880,13
4896,21
4912,29
4928,6
4944,14
4960,22
4976,30
4992,7
5008,15
5024,23
5040,31
5056,0
5072,8
5088,16
5104,24
5120,2
5136,10
5152,18
5168,26
5184,3
5200,11
5216,19
5232,27
5248,4
5264,12
5280,20
5296,28
5312,5
5328,13
5344,21
5360,29
5376,6
5392,14
5408,22
5424,30
5440,7
5456,15
5472,23
5488,31
5504,0
5508,0
5512,0
5516,0
5520,8
5524,8
5528,8
5532,8
5536,16
5552,24
5568,1
5572,1
5584,9
5600,17
5616,25
5632,3
5648,11
5664,19
5680,27
5696,4
5712,12
5728,20
5744,28
5760,5
5776,13
5792,21
5808,29
5824,6
5840,14
5856,22
5872,30
5888,7
5904,15
5920,23
5936,31
5952,0
5956,0
5960,0
5964,0
5968,8
5984,16
6000,24
6016,1
6032,9
6048,17
6064,25
6080,2
6096,10
6112,18
6128,26
6144,4
6160,12
6176,20
6192,28
6208,5
6224,13
6240,21
6256,29
6272,6
6288,14
6304,22
6320,30
6336,7
6352,15
6368,23
6384,31
6400,0
6416,8
6432,16
6448,24
6464,1
6468,1
6480,9
6496,17
6512,25
6528,2
6544,10
6560,18
6576,26
6592,3
6608,11
6624,19
6640,27
6656,5
6660,5
6672,13
6688,21
6704,29
6720,6
6736,14
6752,22
6768,30
6784,7
6800,15
6816,23
6832,31
6848,0
6864,8
6880,16
6896,24
6912,1
6928,9
6944,17
6960,25
6976,2
6992,10
7008,18
7024,26
7040,3
7056,11
7072,19
7088,27
7104,4
7120,12
7136,20
7152,28
7168,6
7184,14
7200,22
7216,30
7232,7
7248,15
7264,23
7280,31
7296,0
7300,0
7304,0
7308,0
7312,8
7316,8
7320,8
7324,8
7328,16
7344,24
7360,1
7376,9
7392,17
7408,25
7424,2
7440,10
7456,18
7472,26
7488,3
7504,11
7520,19
7536,27
7552,4
7556,4
7560,4
7564,4
7568,12
7584,20
7600,28
7616,5
7620,5
7624,5
7628,5
7632,13
7648,21
7664,29
7680,7
7684,7
7688,7
7692,7
7696,15
7712,23
7728,31
7744,0
7760,8
7776,16
7792,24
7808,1
7824,9
7840,17
7856,25
7872,2
7888,10
7904,18
7920,26
7936,3
7940,3
7944,3
7948,3
7952,11
7956,11
7960,11
7964,11
7968,19
7972,19
7976,19
7980,19
7984,27
7988,27
7992,27
7996,27
8000,4
8004,4
8008,4
8012,4
8016,12
8020,12
8024,12
8028,12
8032,20
8036,20
8040,20
8044,20
8048,28
8052,28
8056,28
8060,28
8064,5
8068,5
8072,5
8076,5
8080,13
8084,13
8088,13
8092,13
8096,21
8100,21
8104,21
8108,21
8112,29
8116,29
8120,29
8124,29
8128,6
8132,6
8136,6
8140,6
8144,14
8148,14
8152,14
8156,14
8160,22
8164,22
8168,22
8172,22
8176,30
8180,30
8184,30
8188,30
8192,0
8208,8
8224,16
8240,24
8256,1
8272,9
8288,17
8304,25
8320,2
8324,2
8328,2
8332,2
8336,10
8340,10
8344,10
8348,10
8352,18
8368,26
8384,3
8400,11
8416,19
8432,27
8448,4
8464,12
8480,20
8496,28
8512,5
8528,13
8544,21
8560,29
8576,6
8580,6
8584,6
8588,6
8592,14
8596,14
8600,14
8604,14
8608,22
8624,30
8640,7
8644,7
8656,15
8672,23
8688,31
8704,1
8720,9
8736,17
8752,25
8768,2
8784,10
8800,18
8816,26
8832,3
8848,11
8864,19
8880,27
8896,4
8912,12
8928,20
8944,28
8960,5
8976,13
8992,21
9008,29
9024,6
9040,14
9056,22
9072,30
9088,7
9104,15
9120,23
9136,31
9152,0
9168,8
9184,16
9200,24
9216,2
9232,10
9248,18
9264,26
9280,3
9296,11
9312,19
9328,27
9344,4
9360,12
9376,20
9392,28
9408,5
9424,13
9440,21
9456,29
9472,6
9488,14
9504,22
9520,30
9536,7
9552,15
9568,23
9584,31
9600,0
9616,8
9632,16
9648,24
9664,1
9680,9
9696,17
9712,25
9728,3
9744,11
9760,19
9776,27
9792,4
9808,12
9824,20
9840,28
9856,5
9872,13
9888,21
9904,29
9920,6
9936,14
9952,22
9968,30
9984,7
9988,7
9992,7
9996,7
10000,15
10004,15
10008,15
10012,15
10016,23
10032,31
10048,0
10052,0
10064,8
10080,16
10096,24
10112,1
10128,9
10144,17
10160,25
10176,2
10192,10
10208,18
10224,26
10240,4
10256,12
10272,20
10288,28
10304,5
10320,13
10336,21
10352,29
10368,6
10384,14
10400,22
10416,30
10432,7
10448,15
10464,23
10480,31
10496,0
10500,0
10512,8
10528,16
10544,24
10560,1
10576,9
10592,17
10608,25
10624,2
10640,10
10656,18
10672,26
10688,3
10704,11
10720,19
10736,27
10752,5
10768,13
10784,21
10800,29
10816,6
10832,14
10848,22
10864,30
10880,7
10896,15
10912,23
10928,31
10944,0
10948,0
10960,8
10976,16
10992,24
11008,1
11012,1
11016,1
11020,1
11024,9
11040,17
11056,25
11072,2
11076,2
11080,2
11084,2
11088,10
11104,18
11120,26
11136,3
11152,11
11168,19
11184,27
11200,4
11204,4
11208,4
11212,4
11216,12
11220,12
11224,12
11228,12
11232,20
11236,20
11240,20
11244,20
11248,28
11252,28
11256,28
11260,28
11264,6
11268,6
11272,6
11276,6
11280,14
11296,22
11312,30
11328,7
11344,15
11360,23
11376,31
11392,0
11396,0
11400,0
11404,0
11408,8
11424,16
11440,24
11456,1
11472,9
11488,17
11504,25
11520,2
11524,2
11528,2
11536,10
11552,18
11568,26
11584,3
11588,3
11592,3
11600,11
11616,19
11632,27
11648,4
11652,4
11656,4
11660,4
11664,12
11680,20
11696,28
11712,5
11728,13
11744,21
11760,29
11776,7
11792,15
11808,23
11824,31
11840,0
11856,8
11872,16
11888,24
11904,1
11920,9
11936,17
11952,25
11968,2
11984,10
12000,18
12016,26
12032,3
12048,11
12064,19
12080,27
12096,4
12100,4
12104,4
12108,4
12112,12
12116,12
12120,12
12124,12
12128,20
12132,20
12136,20
12140,20
12144,28
12148,28
12152,28
12156,28
12160,5
12164,5
12168,5
12172,5
12176,13
12180,13
12184,13
12188,13
12192,21
12196,21
12200,21
12204,21
12208,29
12212,29
12216,29
12220,29
12224,6
12240,14
12256,22
12272,30
12288,0
12304,8
12320,16
12336,24
12352,1
12356,1
12368,9
12384,17
12400,25
12416,2
12420,2
